id,should_trigger,prompt
g01,true,解释一下我项目里的 API 请求是怎么从按钮走到数据库的
g02,true,我完全不懂操作系统，请结合这个项目从零教我
g03,true,我说你讲得太快了，请回到最早缺的前置概念
g04,true,帮我诊断这个错误并教我完整的请求链路
g05,true,我想建立计算机和 AI 的系统学习路线
g06,true,请用我刚才授权的日志解释 Redis 为什么超时
g07,true,先别改代码，教我理解这个 React 组件和后端的关系
g08,true,我想知道训练数据、模型和推理服务分别做什么
g09,true,请检查我是否真正理解了反向代理
g10,true,以后按我的学习进度继续教，但先说明会保存什么
g11,true,我看不懂部署文档，想从域名、端口到进程逐层学
g12,true,请把这个数据库迁移拆成我能安全观察的实验
g13,false,把 README 的第一句话改得更有吸引力
g14,false,把这个函数重命名并运行测试
g15,false,给我生成一个登录页面的 CSS
g16,false,把这个文件翻译成英文
g17,false,统计这个目录里有多少个 Python 文件
g18,false,直接把生产服务重启
g19,false,把这段 JSON 格式化
g20,false,提交当前代码并推送到远程仓库
g21,false,生成一张橙色火焰头像
g22,false,列出三个常见的数据库产品
g23,false,把图片缩小到 512 像素
g24,false,删除这个临时目录
